加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,-3.3,16.4,36140,2,0.002,4,11,500
2,-3.3,15.8,36140,2,0.004,5,9,500
3,-3.3,15.2,36140,2,0.006,3,7,500
4,-3.3,14.6,36140,2,0.008,3,9,500
5,-3.3,14,36140,2,0.008,5,7,500
6,-3.3,13.4,36140,2,0.01,2,7,500
7,-3.3,12.8,36140,2,0.01,5,5,500
8,-3.3,12.2,36140,2,0.01,5,11,500
9,-3.3,11.6,36140,10,0.002,4,3,500
10,-3.3,11,36140,10,0.004,1,3,500
11,-3.3,10.4,36140,10,0.006,4,3,500
12,-3.3,9.8,36140,10,0.008,4,11,500
13,-3.3,9.2,36140,10,0.008,5,7,500
14,-3.3,8.6,36140,10,0.01,2,9,500
15,-3.3,8,36140,50,0.008,1,7,500
16,-3.3,7.4,36140,50,0.008,4,11,500
17,-3.3,6.8,36140,100,0.002,2,3,500
18,-3.3,6.2,36140,100,0.004,1,9,500
19,-3.3,5.6,36140,100,0.004,1,11,500
20,-3.3,5,36140,100,0.004,5,3,500
21,-3.3,4.4,36140,100,0.006,3,3,500
22,-3.3,3.8,36140,100,0.006,3,11,500
23,-3.3,3.2,36140,200,0.008,4,3,500
24,-3.3,2.6,36140,200,0.01,5,11,500
25,-3.9,2.6,43800,2,0.002,3,7,1000
26,-3.9,3.2,43800,2,0.01,1,11,1000
27,-3.9,3.8,43800,10,0.002,4,7,1000
28,-3.9,4.4,43800,10,0.004,1,9,1000
29,-3.9,5,43800,10,0.004,4,7,1000
30,-3.9,5.6,43800,10,0.006,2,7,1000
31,-3.9,6.2,43800,10,0.008,2,9,1000
32,-3.9,6.8,43800,50,0.004,2,3,1000
33,-3.9,7.4,43800,50,0.004,5,11,1000
34,-3.9,8,43800,50,0.006,3,3,1000
35,-3.9,8.6,43800,50,0.008,1,11,1000
36,-3.9,9.2,43800,50,0.008,5,5,1000
37,-3.9,9.8,43800,50,0.01,3,11,1000
38,-3.9,10.4,43800,100,0.002,2,9,1000
39,-3.9,11,43800,100,0.006,1,3,1000
