protocol_id,protocol_file,used_by_cards,n_cards,required_laser_keys,required_laser_values,effective_count,reference_peak_fluence_J_m2
ysz_crown_machining_effective_n3,data/protocols/ysz_crown_machining_effective_n3.json,zirconia_ysz_machining_effective_n3,1,pulse_duration_s|repetition_rate_Hz|spot_radius_m|wavelength_m,pulse_duration_s=2.08e-13|repetition_rate_Hz=33300.0|spot_radius_m=1.6e-05|wavelength_m=1.03e-06,3,501000.0
cfrp_t700_yb01_threshold_only,data/protocols/cfrp_t700_yb01_threshold_only.json,cfrp_t700_yb01_800nm,1,pulse_duration_s|repetition_rate_Hz|spot_radius_m|wavelength_m,pulse_duration_s=9e-14|repetition_rate_Hz=1000.0|spot_radius_m=3e-06|wavelength_m=8e-07,1,
inconel718_n10_threshold_reference,data/protocols/inconel718_n10_threshold_reference.json,inconel718_1030nm_n10,1,pulse_duration_s|wavelength_m,pulse_duration_s=2.67e-13|wavelength_m=1.03e-06,10,
sic4h_cface_multishot_reference_N,data/protocols/sic4h_cface_multishot_reference_N.json,sic_4h_cface_1035nm_multishot,1,pulse_duration_s|repetition_rate_Hz|wavelength_m,pulse_duration_s=3e-13|repetition_rate_Hz=200000.0|wavelength_m=1.035e-06,720,
diamond_scd_1030nm_400fs_threshold,data/protocols/diamond_scd_1030nm_400fs_threshold.json,diamond_scd_cvd_1030nm_400fs,1,pulse_duration_s|wavelength_m,pulse_duration_s=4e-13|wavelength_m=1.03e-06,1,
diamond_scd_1030nm_700fs_threshold,data/protocols/diamond_scd_1030nm_700fs_threshold.json,diamond_scd_cvd_1030nm_700fs,1,pulse_duration_s|wavelength_m,pulse_duration_s=7e-13|wavelength_m=1.03e-06,1,
diamond_scd_1030nm_candidate,data/protocols/diamond_scd_1030nm_candidate.json,diamond_scd_cvd_1030nm_pulsewidth_unconfirmed,1,pulse_duration_s|repetition_rate_Hz|wavelength_m,pulse_duration_s=None|repetition_rate_Hz=300000.0|wavelength_m=1.03e-06,1,
