case,说明,structure_type,material_id,algorithm_version,seed,n_phases,phase_names,phase_threshold_over_F_ref,phase_delta_over_L_ref,target_volume_fraction,actual_volume_fraction,volume_fraction_method,n_volume_samples,n_particles_target,n_particles_placed,placement_attempts,mean_diameter,mean_radius,depth,n_layers_input,n_layers_merged,total_thickness,same_phase_merge,initial_phase_cells,final_phase_cells,n_events,clipped_events,n_clipped_cells,phase_switch_cells,phase_switch_events,unapplied_fraction_of_candidate,center_depth_internal,depth_unit,status
alsic_particle_composite.json,颗粒增强铝基（合成）,particle_composite,alsic_sicp_aa2024_1030nm,structure_v1,20260910,2,"Al_matrix,SiC_particle","Al_matrix=1.0,SiC_particle=2.35","Al_matrix=0.5,SiC_particle=0.2",0.32,"{""Al_matrix"": 0.72815, ""SiC_particle"": 0.27185}",grid_sample,20000,29,29,29373,3.0,1.5,5.0,,,,,"{""Al_matrix"": 16287, ""SiC_particle"": 9634}","{""Al_matrix"": 16143, ""SiC_particle"": 9778}",21,21,877,300,18,0.24341841664520353,0.3978709203075398,L_ref,completed
cfrp_laminated_ply.json,CFRP 铺层 [0/90/0/90]（合成）,laminated_fiber_composite,cfrp_t700_yb01_800nm,structure_v1,20260911,2,"resin,fiber","resin=0.7,fiber=2.1","resin=0.35,fiber=0.15",,"{""fiber"": 0.55}",analytic_from_ply_pattern,0,,,,,,,4,4,8.0,False,"{""resin"": 8883, ""fiber"": 10998}","{""resin"": 8825, ""fiber"": 11056}",16,14,106,106,14,0.021748079240750947,3.0193503726494932,L_ref,completed
