curve_id,kind,x,linear,pchip
sic_threshold_vs_effective_n,interpolated,1.0,2.35,2.35
sic_threshold_vs_effective_n,interpolated,4.595000000000001,2.236406007414218,2.2360264457183336
sic_threshold_vs_effective_n,interpolated,8.190000000000001,2.1316786565982158,2.1276978026572353
sic_threshold_vs_effective_n,interpolated,11.785,2.0456497842765264,2.0365340910190977
sic_threshold_vs_effective_n,interpolated,15.38,1.977602578699829,1.9516970253113073
sic_threshold_vs_effective_n,interpolated,18.975,1.9095553731231312,1.8693088921245822
sic_threshold_vs_effective_n,interpolated,22.57,1.8415081675464335,1.7897924495659079
sic_threshold_vs_effective_n,interpolated,26.165000000000003,1.773460961969736,1.7135704557422708
sic_threshold_vs_effective_n,interpolated,29.76,1.7054137563930383,1.6410656687606568
sic_threshold_vs_effective_n,interpolated,33.355000000000004,1.6373665508163406,1.572700846728052
sic_threshold_vs_effective_n,interpolated,36.95,1.5693193452396428,1.5088987477514426
sic_threshold_vs_effective_n,interpolated,40.545,1.5012721396629454,1.4500821299378142
sic_threshold_vs_effective_n,interpolated,44.14,1.4332249340862475,1.396673751394153
sic_threshold_vs_effective_n,interpolated,47.735,1.36517772850955,1.3490963702274448
sic_threshold_vs_effective_n,interpolated,51.330000000000005,1.3118719821429243,1.3073245124643995
sic_threshold_vs_effective_n,interpolated,54.925000000000004,1.2836710516490906,1.2669681203324796
sic_threshold_vs_effective_n,interpolated,58.52,1.2554701211552566,1.2271164316459668
sic_threshold_vs_effective_n,interpolated,62.115,1.2272691906614228,1.1881562860931267
sic_threshold_vs_effective_n,interpolated,65.71000000000001,1.199068260167589,1.1504745233622262
sic_threshold_vs_effective_n,interpolated,69.305,1.1708673296737553,1.1144579831415302
sic_threshold_vs_effective_n,interpolated,72.9,1.1426663991799213,1.080493505119306
sic_threshold_vs_effective_n,interpolated,76.495,1.1144654686860875,1.048967928983819
sic_threshold_vs_effective_n,interpolated,80.09,1.0862645381922538,1.020268094423335
sic_threshold_vs_effective_n,interpolated,83.685,1.05806360769842,0.9947808411261205
sic_threshold_vs_effective_n,interpolated,87.28,1.0298626772045862,0.9728930087804413
sic_threshold_vs_effective_n,interpolated,90.875,1.0016617467107523,0.9549914370745635
sic_threshold_vs_effective_n,interpolated,94.47,0.9734608162169185,0.9414629656967533
sic_threshold_vs_effective_n,interpolated,98.06500000000001,0.9452598857230845,0.9326944343352763
sic_threshold_vs_effective_n,interpolated,101.66000000000001,0.9294647834269334,0.9284989903649299
sic_threshold_vs_effective_n,interpolated,105.25500000000001,0.9281306917106107,0.9250975224509566
sic_threshold_vs_effective_n,interpolated,108.85000000000001,0.9267965999942881,0.921729046707201
sic_threshold_vs_effective_n,interpolated,112.44500000000001,0.9254625082779655,0.9183934087808704
sic_threshold_vs_effective_n,interpolated,116.04,0.9241284165616428,0.9150904543191725
sic_threshold_vs_effective_n,interpolated,119.635,0.9227943248453202,0.9118200289693145
sic_threshold_vs_effective_n,interpolated,123.23,0.9214602331289976,0.9085819783785039
sic_threshold_vs_effective_n,interpolated,126.825,0.920126141412675,0.9053761481939482
sic_threshold_vs_effective_n,interpolated,130.42000000000002,0.9187920496963523,0.9022023840628547
sic_threshold_vs_effective_n,interpolated,134.01500000000001,0.9174579579800297,0.8990605316324308
sic_threshold_vs_effective_n,interpolated,137.61,0.9161238662637071,0.8959504365498842
sic_threshold_vs_effective_n,interpolated,141.205,0.9147897745473844,0.8928719444624219
sic_threshold_vs_effective_n,interpolated,144.8,0.9134556828310618,0.8898249010172519
sic_threshold_vs_effective_n,interpolated,148.395,0.9121215911147392,0.8868091518615812
sic_threshold_vs_effective_n,interpolated,151.99,0.9107874993984166,0.883824542642617
sic_threshold_vs_effective_n,interpolated,155.585,0.9094534076820939,0.8808709190075673
sic_threshold_vs_effective_n,interpolated,159.18,0.9081193159657713,0.8779481266036392
sic_threshold_vs_effective_n,interpolated,162.775,0.9067852242494487,0.8750560110780404
sic_threshold_vs_effective_n,interpolated,166.37,0.905451132533126,0.8721944180779778
sic_threshold_vs_effective_n,interpolated,169.965,0.9041170408168034,0.8693631932506592
sic_threshold_vs_effective_n,interpolated,173.56,0.9027829491004808,0.8665621822432921
sic_threshold_vs_effective_n,interpolated,177.155,0.9014488573841581,0.863791230703084
sic_threshold_vs_effective_n,interpolated,180.75,0.9001147656678355,0.8610501842772418
sic_threshold_vs_effective_n,interpolated,184.345,0.898780673951513,0.8583388886129732
sic_threshold_vs_effective_n,interpolated,187.94,0.8974465822351904,0.8556571893574858
sic_threshold_vs_effective_n,interpolated,191.535,0.8961124905188677,0.8530049321579871
sic_threshold_vs_effective_n,interpolated,195.13000000000002,0.8947783988025451,0.850381962661684
sic_threshold_vs_effective_n,interpolated,198.72500000000002,0.8934443070862225,0.8477881265157844
sic_threshold_vs_effective_n,interpolated,202.32000000000002,0.8921102153698998,0.8452232693674956
sic_threshold_vs_effective_n,interpolated,205.91500000000002,0.8907761236535772,0.8426872368640249
sic_threshold_vs_effective_n,interpolated,209.51000000000002,0.8894420319372546,0.8401798746525799
sic_threshold_vs_effective_n,interpolated,213.10500000000002,0.8881079402209319,0.8377010283803681
sic_threshold_vs_effective_n,interpolated,216.70000000000002,0.8867738485046093,0.8352505436945966
sic_threshold_vs_effective_n,interpolated,220.29500000000002,0.8854397567882867,0.8328282662424731
sic_threshold_vs_effective_n,interpolated,223.89000000000001,0.8841056650719641,0.8304340416712048
sic_threshold_vs_effective_n,interpolated,227.485,0.8827715733556414,0.8280677156279994
