input,expected_sha256,actual_sha256,match,note
F01 seven_materials_parameter_register.xlsx,f0eb36ba926f48e3c2f180d4b8bf1142fcd63d378726746d1ba243d8a8726f9f,f0eb36ba926f48e3c2f180d4b8bf1142fcd63d378726746d1ba243d8a8726f9f,True,
F02 material_card_templates.json,9cb12bf43e15e918dc4decf34f9c927500400e675442469282f71dc6587c171a,9cb12bf43e15e918dc4decf34f9c927500400e675442469282f71dc6587c171a,True,
F03 paper5.0.tex,f14265daddb413f0ab43900725883d0ecaa0d79788428daeb2a85b28e63fb6a9,None,False,文件未找到：记录缺失，不阻塞人工解析主线
F04 ttm_carrier_drilling_q4_axisymmetric.py,58794b1cdca8a34ef48ea531b7ae28af5ddb13f8fddddcb932b9952a0770185a,None,False,文件未找到：记录缺失，不阻塞人工解析主线
