加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
1,-3.4,-18.0,-3.2,-18.0,1,43800,10,1,5,1000
2,-3.4,-18.3,-3.2,-18.3,1,43800,20,2,10,1000
3,-3.4,-18.6,-3.2,-18.6,1,43800,10,2,10,1000
4,-3.4,-18.9,-3.2,-18.9,1,36140,5,5,10,500
5,-3.4,-19.2,-3.2,-19.2,1,43800,20,3,10,1000
6,-3.4,-19.5,-3.2,-19.5,1,58400,2,1,15,2000
7,-3.4,-19.8,-3.2,-19.8,1,87300,50,4,5,4000
8,-3.4,-20.1,-3.2,-20.1,1,87300,2,1,20,4000
9,-3.4,-20.4,-3.2,-20.4,1,36140,10,4,1,500
10,-3.4,-20.7,-3.2,-20.7,1,87300,2,1,5,4000
11,-3.4,-21.0,-3.2,-21.0,1,43800,20,5,1,1000
12,-3.4,-21.3,-3.2,-21.3,1,116200,10,1,1,6000
13,-3.4,-21.6,-3.2,-21.6,1,36140,10,5,20,500
14,-3.4,-21.9,-3.2,-21.9,1,116200,10,1,5,6000
15,-3.4,-22.2,-3.2,-22.2,1,87300,5,1,20,4000
16,-3.4,-22.5,-3.2,-22.5,1,43800,50,3,15,1000
17,-3.4,-22.8,-3.2,-22.8,1,36140,20,4,1,500
18,-3.4,-23.1,-3.2,-23.1,1,43800,5,4,15,1000
19,-3.4,-23.4,-3.2,-23.4,1,43800,10,5,1,1000
20,-3.4,-23.7,-3.2,-23.7,1,58400,5,4,20,2000
21,-3.4,-24.0,-3.2,-24.0,1,116200,20,3,5,6000
22,-3.4,-24.3,-3.2,-24.3,1,116200,5,2,15,6000
23,-3.4,-24.6,-3.2,-24.6,1,116200,50,2,15,6000
24,-3.4,-24.9,-3.2,-24.9,1,87300,5,4,5,4000
25,-3.7,-24.9,-3.5,-24.9,1,87300,20,5,10,4000
26,-3.7,-24.6,-3.5,-24.6,1,36140,5,3,20,500
27,-3.7,-24.3,-3.5,-24.3,1,116200,2,5,1,6000
28,-3.7,-24.0,-3.5,-24.0,1,116200,2,4,5,6000
29,-3.7,-23.7,-3.5,-23.7,1,58400,20,1,20,2000
30,-3.7,-23.4,-3.5,-23.4,1,36140,2,4,10,500
31,-3.7,-23.1,-3.5,-23.1,1,58400,20,5,20,2000
32,-3.7,-22.8,-3.5,-22.8,1,58400,20,4,15,2000
33,-3.7,-22.5,-3.5,-22.5,1,58400,5,1,1,2000
34,-3.7,-22.2,-3.5,-22.2,1,36140,50,2,5,500
35,-3.7,-21.9,-3.5,-21.9,1,36140,2,4,15,500
36,-3.7,-21.6,-3.5,-21.6,1,87300,50,1,10,4000
37,-3.7,-21.3,-3.5,-21.3,1,87300,2,5,5,4000
38,-3.7,-21.0,-3.5,-21.0,1,87300,5,3,5,4000
39,-3.7,-20.7,-3.5,-20.7,1,36140,10,5,10,500
40,-3.7,-20.4,-3.5,-20.4,1,87300,50,2,15,4000
41,-3.7,-20.1,-3.5,-20.1,1,116200,10,3,1,6000
42,-3.7,-19.8,-3.5,-19.8,1,116200,5,1,20,6000
43,-3.7,-19.5,-3.5,-19.5,1,116200,50,4,10,6000
44,-3.7,-19.2,-3.5,-19.2,1,87300,50,1,15,4000
45,-3.7,-18.9,-3.5,-18.9,1,87300,20,5,1,4000
46,-3.7,-18.6,-3.5,-18.6,1,43800,5,3,10,1000
47,-3.7,-18.3,-3.5,-18.3,1,43800,10,3,15,1000
48,-3.7,-18.0,-3.5,-18.0,1,116200,10,5,1,6000
49,-4.0,-18.0,-3.8,-18.0,1,36140,2,4,5,500
50,-4.0,-18.3,-3.8,-18.3,1,87300,5,4,20,4000
51,-4.0,-18.6,-3.8,-18.6,1,116200,10,1,20,6000
52,-4.0,-18.9,-3.8,-18.9,1,36140,2,4,20,500
53,-4.0,-19.2,-3.8,-19.2,1,116200,20,2,20,6000
54,-4.0,-19.5,-3.8,-19.5,1,36140,20,1,10,500
55,-4.0,-19.8,-3.8,-19.8,1,36140,50,4,15,500
56,-4.0,-20.1,-3.8,-20.1,1,58400,50,4,10,2000
57,-4.0,-20.4,-3.8,-20.4,1,58400,50,3,5,2000
58,-4.0,-20.7,-3.8,-20.7,1,87300,5,4,1,4000
59,-4.0,-21.0,-3.8,-21.0,1,58400,10,5,1,2000
60,-4.0,-21.3,-3.8,-21.3,1,43800,2,1,15,1000
