加工顺序,X坐标(mm),Y坐标(mm),compressor,频率,间距,次数,速度,脉宽_fs
1,0.0,0.0,36140,2,0.002,5,1.0,500
2,0.0,0.4,36140,2,0.004,6,0.7,500
3,0.0,0.8,36140,2,0.006,4,0.5,500
4,0.0,1.2,36140,2,0.008,4,0.7,500
5,0.0,1.6,36140,2,0.008,6,0.5,500
6,-0.4,1.6,36140,2,0.01,3,0.5,500
7,-0.4,1.2,36140,2,0.01,6,0.3,500
8,-0.4,0.8,36140,2,0.01,6,1.0,500
9,-0.4,0.4,36140,10,0.002,5,0.1,500
10,-0.4,0.0,36140,10,0.004,2,0.1,500
11,-0.8,0.0,36140,10,0.006,5,0.1,500
12,-0.8,0.4,36140,10,0.008,5,1.0,500
13,-0.8,0.8,36140,10,0.008,6,0.5,500
14,-0.8,1.2,36140,10,0.01,3,0.7,500
15,-0.8,1.6,36140,50,0.008,2,0.5,500
16,-1.2,1.6,36140,50,0.008,5,1.0,500
17,-1.2,1.2,36140,100,0.002,3,0.1,500
18,-1.2,0.8,36140,100,0.004,2,0.7,500
19,-1.2,0.4,36140,100,0.004,2,1.0,500
20,-1.2,0.0,36140,100,0.004,6,0.1,500
21,-1.6,0.0,36140,100,0.006,4,0.1,500
22,-1.6,0.4,36140,100,0.006,4,1.0,500
23,-1.6,0.8,36140,200,0.008,5,0.1,500
24,-1.6,1.2,36140,200,0.01,6,1.0,500
25,-1.6,1.6,43800,2,0.002,4,0.5,1000
26,-2.0,1.6,43800,2,0.01,2,1.0,1000
27,-2.0,1.2,43800,10,0.002,5,0.5,1000
28,-2.0,0.8,43800,10,0.004,2,0.7,1000
29,-2.0,0.4,43800,10,0.004,5,0.5,1000
30,-2.0,0.0,43800,10,0.006,3,0.5,1000
31,-2.4,0.0,43800,10,0.008,3,0.7,1000
32,-2.4,0.4,43800,50,0.004,3,0.1,1000
33,-2.4,0.8,43800,50,0.004,6,1.0,1000
34,-2.4,1.2,43800,50,0.006,4,0.1,1000
35,-2.4,1.6,43800,50,0.008,2,1.0,1000
36,-2.8,1.6,43800,50,0.008,6,0.3,1000
37,-2.8,1.2,43800,50,0.01,4,1.0,1000
38,-2.8,0.8,43800,100,0.002,3,0.7,1000
39,-2.8,0.4,43800,100,0.006,2,0.1,1000
40,-2.8,0.0,43800,100,0.006,6,0.3,1000
41,-3.2,0.0,43800,100,0.008,6,0.1,1000
42,-3.2,0.4,43800,100,0.01,4,0.7,1000
43,-3.2,0.8,43800,100,0.01,6,1.0,1000
44,-3.2,1.2,43800,200,0.006,4,0.3,1000
45,-3.2,1.6,43800,200,0.006,4,0.5,1000
46,-3.6,1.6,43800,200,0.008,5,1.0,1000
47,-3.6,1.2,43800,200,0.01,4,0.7,1000
48,-3.6,0.8,43800,200,0.01,6,1.0,1000
49,-3.6,0.4,58400,2,0.006,3,0.7,2000
