试验号,compressor,重复频率,扫描速度,,,,,compressor,重复频率,扫描速度,间距,,,,,脉宽_fs
52,36140,2,0.3, ,,,,36140,2,0.4,0.04,,,,,500
69,36140,2,1,,,,,58400,20,0.8,0.08,,,,,500
75,36140,2,0.05,,,,,,,,,,,,,500
84,36140,2,0.1,,,,,,,,,,,,,500
117,36140,2,0.8,,,,,,,,,,,,,500
,36140,10,0.8,,,,,,,,,,1,2,3,500
39,36140,10,0.5,2,错误,,0.1x0.1,试验号,A(compressor),B (重复频率),C (扫描速度),D (间距),层数,,,500
60,36140,10,0.05,,,,,1,36140,2,0.4,0.004,1,2,3,500
85,36140,10,1,,,,,2,36140,2,0.4,0.008,6,5,4,500
90,36140,10,0.2,,,,,3,36140,20,0.8,0.004,7,8中间有一个操作错误，重新加工了一次,9,500
116,36140,10,0.1,,,,,4,36140,20,0.8,0.008,12,11,10,500
12,36140,20,0.3,,,,,5,58400,2,0.8,0.008,13,14,15,500
34,36140,20,0.8,,,,,6,58400,2,0.8,0.004,16,17,18,500
45,36140,20,0.2,,,,,7,58400,20,0.4,0.008,19,20,21,500
91,36140,20,0.05,,,,,8,58400,20,0.4,0.004,22,23,24,500
92,36140,20,0.1,,,,,,,,,,,,,500
15,36140,100,1,,,,,,,,,,,,,500
40,36140,100,0.1,,,,,,,,,,,,,500
78,36140,100,0.2,,,,,,,,,,,,,500
95,36140,100,0.3,,,,,,,,,,,,,500
100,36140,100,0.5,,,,,,,,,,,,,500
4,36140,200,0.8,,,,,,,,,,,,,500
18,36140,200,0.5,,,,,,,,,,,,,500
23,36140,200,0.05,,,,,,,,,,,,,500
53,36140,200,0.2,,,,,,,,,,,,,500
1,43800,2,0.5,,,,,,,,,,,,,1000
44,43800,2,0.1,,,,,,,,,,,,,1000
80,43800,2,1,,,,,,,,,,,,,1000
96,43800,2,0.2,,,,,,,,,,,,,1000
111,43800,10,0.8,,,,,,,,,,,,,1000
42,43800,10,0.3,,,,,,,,,,,,,1000
57,43800,10,0.2,,,,,,,,,,,,,1000
77,43800,10,0.05,,,,,,,,,,,,,1000
112,43800,10,0.5,,,,,,,,,,,,,1000
113,43800,20,1,,,,,,,,,,,,,1000
11,43800,20,0.8,,,,,,,,,,,,,1000
19,43800,20,0.5,,,,,,,,,,,,,1000
43,43800,20,0.1,,,,,,,,,,,,,1000
94,43800,20,0.3,,,,,,,,,,,,,1000
28,43800,100,1,,,,,,,,,,,,,1000
41,43800,100,0.8,,,,,,,,,,,,,1000
61,43800,100,0.05,,,,,,,,,,,,,1000
66,43800,100,0.2,,,,,,,,,,,,,1000
99,43800,100,0.5,,,,,,,,,,,,,1000
24,43800,200,0.1,,,,,,,,,,,,,1000
68,43800,200,0.8,,,,,,,,,,,,,1000
70,43800,200,0.3,,,,,,,,,,,,,1000
79,43800,200,1,,,,,,,,,,,,,1000
97,43800,200,0.05,,,,,,,,,,,,,1000
17,58400,2,0.2,,,,,,,,,,,,,2000
35,58400,2,0.3,,,,,,,,,,,,,2000
