section,axis,coord,depth,height
y=0,x,3.4e-05,1.6799999999999994e-07,-1.6799999999999994e-07
y=0,x,3.5e-05,1.5e-07,-1.5e-07
y=0,x,3.6e-05,1.2799999999999988e-07,-1.2799999999999988e-07
y=0,x,3.7e-05,1.0199999999999995e-07,-1.0199999999999995e-07
y=0,x,3.7999999999999995e-05,7.200000000000006e-08,-7.200000000000006e-08
y=0,x,3.9e-05,3.799999999999995e-08,-3.799999999999995e-08
y=0,x,3.9999999999999996e-05,4.440892098500625e-23,-4.440892098500625e-23
y=0,x,4.1e-05,0.0,0.0
y=0,x,4.2e-05,0.0,0.0
y=0,x,4.2999999999999995e-05,0.0,0.0
y=0,x,4.4e-05,0.0,0.0
y=0,x,4.4999999999999996e-05,0.0,0.0
y=0,x,4.6e-05,0.0,0.0
y=0,x,4.7e-05,0.0,0.0
y=0,x,4.8e-05,0.0,0.0
y=0,x,4.9e-05,0.0,0.0
y=0,x,4.9999999999999996e-05,0.0,0.0
y=0,x,5.1e-05,0.0,0.0
y=0,x,5.2e-05,0.0,0.0
y=0,x,5.3e-05,0.0,0.0
y=0,x,5.4e-05,0.0,0.0
y=0,x,5.4999999999999995e-05,0.0,0.0
y=0,x,5.6e-05,0.0,0.0
y=0,x,5.6999999999999996e-05,0.0,0.0
y=0,x,5.8e-05,0.0,0.0
y=0,x,5.9e-05,0.0,0.0
y=0,x,5.9999999999999995e-05,0.0,0.0
y=0,x,6.1e-05,0.0,0.0
y=0,x,6.2e-05,0.0,0.0
y=0,x,6.3e-05,0.0,0.0
y=0,x,6.4e-05,0.0,0.0
y=0,x,6.5e-05,0.0,0.0
