加工顺序,中心X,中心Y,compressor,脉宽_fs,频率,线间距,次数,速度
1,-5,-18,36140,500,2,0.006,1,20,500
2,-5,-18.4,36140,500,2,0.006,2,20,500
3,-5,-18.8,36140,500,2,0.006,3,20,500
4,-5,-19.2,36140,500,2,0.006,4,20,500
5,-5,-19.6,36140,500,2,0.006,5,20,500
6,-5,-20,36140,500,2,0.006,6,20,500
7,-5,-20.4,116200,6000,2,0.006,1,15,6000
8,-5,-20.8,116200,6000,2,0.006,2,15,6000
9,-5,-21.2,116200,6000,2,0.006,3,15,6000
10,-5,-21.6,116200,6000,2,0.006,4,15,6000
11,-5,-22,116200,6000,2,0.006,5,15,6000
12,-5,-22.4,116200,6000,2,0.006,6,15,6000
13,-5.4,-22.4,58400,2000,10,0.005,1,20,2000
14,-5.4,-22,58400,2000,10,0.005,2,20,2000
15,-5.4,-21.6,58400,2000,10,0.005,3,20,2000
16,-5.4,-21.2,58400,2000,10,0.005,4,20,2000
17,-5.4,-20.8,58400,2000,10,0.005,5,20,2000
18,-5.4,-20.4,58400,2000,10,0.005,6,20,2000
19,-5.4,-20,36140,500,10,0.004,1,10,500
20,-5.4,-19.6,36140,500,10,0.004,2,10,500
21,-5.4,-19.2,36140,500,10,0.004,3,10,500
22,-5.4,-18.8,36140,500,10,0.004,4,10,500
23,-5.4,-18.4,36140,500,10,0.004,5,10,500
24,-5.4,-18,36140,500,10,0.004,6,10,500
25,-5.8,-18,43800,1000,20,0.004,1,10,1000
26,-5.8,-18.4,43800,1000,20,0.004,2,10,1000
27,-5.8,-18.8,43800,1000,20,0.004,3,10,1000
28,-5.8,-19.2,43800,1000,20,0.004,4,10,1000
29,-5.8,-19.6,43800,1000,20,0.004,5,10,1000
30,-5.8,-20,43800,1000,20,0.004,6,10,1000
31,-5.8,-20.4,58400,2000,10,0.003,1,15,2000
32,-5.8,-20.8,58400,2000,10,0.003,2,15,2000
33,-5.8,-21.2,58400,2000,10,0.003,3,15,2000
34,-5.8,-21.6,58400,2000,10,0.003,4,15,2000
35,-5.8,-22,58400,2000,10,0.003,5,15,2000
36,-5.8,-22.4,58400,2000,10,0.003,6,15,2000
37,-6.2,-22.4,116200,6000,50,0.004,1,10,6000
38,-6.2,-22,116200,6000,50,0.004,2,10,6000
39,-6.2,-21.6,116200,6000,50,0.004,3,10,6000
40,-6.2,-21.2,116200,6000,50,0.004,4,10,6000
41,-6.2,-20.8,116200,6000,50,0.004,5,10,6000
42,-6.2,-20.4,116200,6000,50,0.004,6,10,6000
43,-6.2,-20,36140,500,50,0.002,1,1,500
44,-6.2,-19.6,36140,500,50,0.002,2,1,500
45,-6.2,-19.2,36140,500,50,0.002,3,1,500
46,-6.2,-18.8,36140,500,50,0.002,4,1,500
47,-6.2,-18.4,36140,500,50,0.002,5,1,500
48,-6.2,-18,36140,500,50,0.002,6,1,500
49,-6.6,-18,58400,2000,50,0.002,1,5,2000
50,-6.6,-18.4,58400,2000,50,0.002,2,5,2000
51,-6.6,-18.8,58400,2000,50,0.002,3,5,2000
52,-6.6,-19.2,58400,2000,50,0.002,4,5,2000
53,-6.6,-19.6,58400,2000,50,0.002,5,5,2000
54,-6.6,-20,58400,2000,50,0.002,6,5,2000
55,-6.6,-20.4,116200,6000,50,0.003,1,1,6000
56,-6.6,-20.8,116200,6000,50,0.003,2,1,6000
57,-6.6,-21.2,116200,6000,50,0.003,3,1,6000
58,-6.6,-21.6,116200,6000,50,0.003,4,1,6000
59,-6.6,-22,116200,6000,50,0.003,5,1,6000
60,-6.6,-22.4,116200,6000,50,0.003,6,1,6000
