加工顺序,中心X,中心Y,compressor,频率,线间距,次数,速度,脉宽_fs
1,0.2,-6.5,29400,5,0.01,5,175,223
2,0.2,-7,29400,5,0.01,6,175,223
3,0.2,-7.5,87300,10,0.01,5,175,4000
4,0.2,-8,87300,10,0.01,6,175,4000
5,0.2,-8.5,43800,40,0.01,5,150,1000
6,0.2,-9,43800,40,0.01,6,150,1000
7,0.2,-9.5,87300,5,0.008,5,125,4000
8,0.2,-10,87300,5,0.008,6,125,4000
9,0.2,-10.5,36140,20,0.006,5,150,500
10,0.2,-11,36140,20,0.006,6,150,500
11,0.2,-11.5,36140,10,0.008,5,100,500
12,0.2,-12,36140,10,0.008,6,100,500
13,0.2,-12.5,58400,2,0.004,5,125,2000
14,0.2,-13,58400,2,0.004,6,125,2000
15,0.2,-13.5,87300,20,0.002,5,150,4000
16,0.2,-14,87300,20,0.002,6,150,4000
17,0.2,-14.5,43800,2,0.002,5,125,1000
18,0.2,-15,43800,2,0.002,6,125,1000
19,0.2,-15.5,58400,2,0.002,5,100,2000
20,0.2,-16,58400,2,0.002,6,100,2000
