metric,value,unit
watermark.material_id,alsic_sicp_aa2024_1030nm,
watermark.family,铝基碳化硅,
watermark.grade,SiCp/AA2024 候选（配方待确认）,
watermark.evidence_status,literature_reported,
watermark.source_type,research_card_migration,
watermark.card_version,1.0.0,
watermark.card_sha256,0f56b7cdfd390e581855ae8c1e1dde94566fa7d4c5c4a43f42d96d0b6f0fe803,
watermark.physical_prediction_allowed,False,
watermark.identity_confirmed_by_user,False,
watermark.run_mode,synthetic_demo,
watermark.unit_mode,dimensionless,
watermark.physical_depth_export_allowed,False,
cell_count,25921,
domain_area_internal,259.2099999999999,L_ref^2
removal_volume_internal,10.099508141497799,L_ref^3
max_depth_internal,10.319999999999999,L_ref
center_depth_internal,0.3978709203075398,L_ref
mean_depth_internal,0.03896264859186683,L_ref
n_abating_cells,800,
max_cumulative_fluence_internal,76.10973249712163,F_ref
max_illumination_count,21,
max_exposure_count,21,
height_min_internal,-10.319999999999999,L_ref
height_max_internal,0.0,L_ref
unit_system,dimensionless,
length_unit,L_ref,
depth_unit,L_ref,L_ref
fluence_unit,F_ref,F_ref
removal_available,True,
phase_cell_count[Al_matrix],16143,
phase_cell_count[SiC_particle],9778,
structured_interface,True,
roi[center_1Lref].name,center_1Lref,
roi[center_1Lref].available,True,
roi[center_1Lref].rule,cell_centers_within_circle (r <= radius_m),
roi[center_1Lref].n_cells,317,
roi[center_1Lref].actual_area_internal,3.1699999999999995,
roi[center_1Lref].mean_depth_internal,2.1358508405074432,
roi[center_1Lref].max_depth_internal,10.319999999999999,
roi[center_1Lref].removal_volume_internal,6.770647164408595,
roi[center_1Lref].reason,null,
roi[corner_off].name,corner_off,
roi[corner_off].available,True,
roi[corner_off].rule,cell_centers_within_circle (r <= radius_m),
roi[corner_off].n_cells,313,
roi[corner_off].actual_area_internal,3.1299999999999994,
roi[corner_off].mean_depth_internal,0.0,
roi[corner_off].max_depth_internal,0.0,
roi[corner_off].removal_volume_internal,0.0,
roi[corner_off].reason,null,
