section,axis,coord,depth,height
y=0,x,-7.999999999999999,0.0,0.0
y=0,x,-7.8999999999999995,0.0,0.0
y=0,x,-7.799999999999999,0.0,0.0
y=0,x,-7.699999999999999,0.0,0.0
y=0,x,-7.6,0.0,0.0
y=0,x,-7.499999999999999,0.0,0.0
y=0,x,-7.3999999999999995,0.0,0.0
y=0,x,-7.3,0.0,0.0
y=0,x,-7.199999999999999,0.0,0.0
y=0,x,-7.1,0.0,0.0
y=0,x,-6.999999999999999,0.0,0.0
y=0,x,-6.8999999999999995,0.0,0.0
y=0,x,-6.8,0.0,0.0
y=0,x,-6.699999999999999,0.0,0.0
y=0,x,-6.6,0.0,0.0
y=0,x,-6.499999999999999,0.0,0.0
y=0,x,-6.3999999999999995,0.0,0.0
y=0,x,-6.3,0.0,0.0
y=0,x,-6.199999999999999,0.0,0.0
y=0,x,-6.1,0.0,0.0
y=0,x,-5.999999999999999,0.0,0.0
y=0,x,-5.8999999999999995,0.0,0.0
y=0,x,-5.8,0.0,0.0
y=0,x,-5.699999999999999,0.0,0.0
y=0,x,-5.6,0.0,0.0
y=0,x,-5.499999999999999,0.0,0.0
y=0,x,-5.3999999999999995,0.0,0.0
y=0,x,-5.3,0.0,0.0
y=0,x,-5.199999999999999,0.0,0.0
y=0,x,-5.1,0.0,0.0
y=0,x,-5.0,0.0,0.0
y=0,x,-4.8999999999999995,0.0,0.0
y=0,x,-4.8,0.0,0.0
y=0,x,-4.699999999999999,0.0,0.0
y=0,x,-4.6,0.0,0.0
y=0,x,-4.5,0.0,0.0
y=0,x,-4.3999999999999995,0.0,0.0
y=0,x,-4.3,0.0,0.0
y=0,x,-4.199999999999999,0.0,0.0
y=0,x,-4.1,0.0,0.0
y=0,x,-3.9999999999999996,0.0,0.0
y=0,x,-3.8999999999999995,0.0,0.0
y=0,x,-3.8,0.0,0.0
y=0,x,-3.6999999999999997,0.0,0.0
y=0,x,-3.5999999999999996,0.0,0.0
y=0,x,-3.4999999999999996,0.0,0.0
y=0,x,-3.4,0.0,0.0
y=0,x,-3.3,0.0,0.0
y=0,x,-3.1999999999999997,0.0,0.0
y=0,x,-3.0999999999999996,0.0,0.0
y=0,x,-2.9999999999999996,0.0,0.0
y=0,x,-2.9,0.0,0.0
y=0,x,-2.8,0.0,0.0
y=0,x,-2.6999999999999997,0.0,0.0
y=0,x,-2.5999999999999996,0.0,0.0
y=0,x,-2.5,0.0,0.0
y=0,x,-2.4,0.0,0.0
y=0,x,-2.3,0.0,0.0
y=0,x,-2.1999999999999997,0.0,0.0
y=0,x,-2.0999999999999996,0.0,0.0
y=0,x,-1.9999999999999998,0.0,0.0
y=0,x,-1.9,0.0,0.0
y=0,x,-1.7999999999999998,0.0,0.0
y=0,x,-1.7,0.0,0.0
y=0,x,-1.5999999999999999,0.0,0.0
y=0,x,-1.4999999999999998,6.661338147750937e-16,-6.661338147750937e-16
y=0,x,-1.4,0.06588944408807582,-0.06588944408807582
y=0,x,-1.2999999999999998,0.0,0.0
