metric,value,unit
cell_count,19881,
domain_area_internal,198.80999999999997,L_ref^2
removal_volume_internal,9.604408185049268,L_ref^3
max_depth_internal,13.085379686056903,L_ref
center_depth_internal,3.0193503726494932,L_ref
mean_depth_internal,0.048309482345200286,L_ref
n_abating_cells,280,
max_cumulative_fluence_internal,118.22489758289042,F_ref
max_illumination_count,16,
max_exposure_count,16,
height_min_internal,-13.085379686056903,L_ref
height_max_internal,0.0,L_ref
unit_system,dimensionless,
length_unit,L_ref,
depth_unit,L_ref,L_ref
fluence_unit,F_ref,F_ref
removal_available,True,
phase_cell_count[resin],8825,
phase_cell_count[fiber],11056,
structured_interface,True,
roi[drill_1Lref].name,drill_1Lref,
roi[drill_1Lref].available,True,
roi[drill_1Lref].rule,cell_centers_within_circle (r <= radius_m),
roi[drill_1Lref].n_cells,317,
roi[drill_1Lref].actual_area_internal,3.1699999999999995,
roi[drill_1Lref].mean_depth_internal,2.946631505663513,
roi[drill_1Lref].max_depth_internal,13.085379686056903,
roi[drill_1Lref].removal_volume_internal,9.340821872953335,
roi[drill_1Lref].reason,null,
