case_id,source_id,material_family,material_name,data_kind,output_semantics,source_doi,source_url,extraction_method,extraction_date,grade_confirmation_required,pattern,peak_fluence_J_cm2,peak_fluence_J_m2,pulse_count,equivalent_pulse_count,diameter_x_um,diameter_y_um,line_width_um,depth_um,depth_m,wavelength_nm,pulse_duration_fs,repetition_rate_Hz,beam_diameter_um,source_locator,quality_note
D02-glass_dot,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,cumulative_depth,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,8,80000.0,10,,25.5,22.3,,6.3,6.3e-06,1030,290,10000,,Table 1,Equivalent pulse count is not an integer event sequence. Crater diameter is not laser waist. No full 3D measured surface.
D02-zirconia_dot,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,cumulative_depth,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,dot,4,40000.0,20,,21.3,23.6,,7.4,7.4e-06,1030,290,10000,,Table 1,Equivalent pulse count is not an integer event sequence. Crater diameter is not laser waist. No full 3D measured surface.
D02-glass_cross,D02,微晶玻璃,IPS e.max CAD HT lithium-disilicate glass-ceramic,published_experimental_result,track_or_pass_depth,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,8,80000.0,,20,,,21.5,8.8,8.8e-06,1030,290,10000,,Table 2,Equivalent pulse count is not an integer event sequence. Crater diameter is not laser waist. No full 3D measured surface.
D02-zirconia_cross,D02,氧化锆,KATANA UTML 6Y-PSZ,published_experimental_result,track_or_pass_depth,10.3390/ma15103614,https://pmc.ncbi.nlm.nih.gov/articles/PMC9143866/,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,crossed_line,8,80000.0,,20,,,22.7,7.1,7.099999999999999e-06,1030,290,10000,,Table 2,Equivalent pulse count is not an integer event sequence. Crater diameter is not laser waist. No full 3D measured surface.
