case_id,source_id,material_family,material_name,data_kind,output_semantics,source_doi,source_url,extraction_method,extraction_date,grade_confirmation_required,power_W,peak_fluence_J_cm2,peak_fluence_J_m2,diameter_um,depth_um,diameter_m,depth_m,wavelength_nm,pulse_duration_fs,pulse_count,repetition_rate_Hz,reported_spot_diameter_um,source_locator,quality_note
D03-1,D03,SiC,monocrystalline 4H-SiC,published_experimental_result,single_pulse_crater_endpoint,10.3390/mi15050573,https://www.mdpi.com/2072-666X/15/5/573,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,4.35,6.92,69200.0,12.1,0.35,1.21e-05,3.5e-07,1030,300,1,,20,Experimental values in Results text for Figures 3 and 7,Only explicit experimental numbers are transcribed. Simulation predictions excluded. Reported peak fluence used directly; frequency not guessed from power. A local-law conversion requires a declared shape/threshold assumption.
D03-2,D03,SiC,monocrystalline 4H-SiC,published_experimental_result,single_pulse_crater_endpoint,10.3390/mi15050573,https://www.mdpi.com/2072-666X/15/5/573,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,5.09,8.1,81000.0,14.7,0.51,1.4699999999999998e-05,5.1e-07,1030,300,1,,20,Experimental values in Results text for Figures 3 and 7,Only explicit experimental numbers are transcribed. Simulation predictions excluded. Reported peak fluence used directly; frequency not guessed from power. A local-law conversion requires a declared shape/threshold assumption.
D03-3,D03,SiC,monocrystalline 4H-SiC,published_experimental_result,single_pulse_crater_endpoint,10.3390/mi15050573,https://www.mdpi.com/2072-666X/15/5/573,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.28,9.99,99900.0,17.1,0.66,1.7100000000000002e-05,6.6e-07,1030,300,1,,20,Experimental values in Results text for Figures 3 and 7,Only explicit experimental numbers are transcribed. Simulation predictions excluded. Reported peak fluence used directly; frequency not guessed from power. A local-law conversion requires a declared shape/threshold assumption.
D03-4,D03,SiC,monocrystalline 4H-SiC,published_experimental_result,single_pulse_crater_endpoint,10.3390/mi15050573,https://www.mdpi.com/2072-666X/15/5/573,manual_transcription_from_published_table_or_explicit_results_text,2026-09-11,False,6.83,10.82,108200.0,18.2,0.72,1.82e-05,7.2e-07,1030,300,1,,20,Experimental values in Results text for Figures 3 and 7,Only explicit experimental numbers are transcribed. Simulation predictions excluded. Reported peak fluence used directly; frequency not guessed from power. A local-law conversion requires a declared shape/threshold assumption.
