加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
1,-10.2,-12.9,-10.0,-12.9,1,36140,10,1,125,500
2,-10.2,-13.2,-10.0,-13.2,1,36140,20,2,150,500
3,-10.2,-13.5,-10.0,-13.5,1,36140,10,2,150,500
4,-10.2,-13.8,-10.0,-13.8,1,29400,5,5,150,223
5,-10.2,-14.1,-10.0,-14.1,1,36140,20,3,150,500
6,-10.2,-14.4,-10.0,-14.4,1,43800,2,1,175,1000
7,-10.2,-14.7,-10.0,-14.7,1,58400,40,4,125,2000
8,-10.2,-15.0,-10.0,-15.0,1,58400,2,1,200,2000
9,-10.2,-15.3,-10.0,-15.3,1,29400,10,4,100,223
10,-10.2,-15.6,-10.0,-15.6,1,58400,2,1,125,2000
11,-10.2,-15.9,-10.0,-15.9,1,36140,20,5,100,500
12,-10.2,-16.2,-10.0,-16.2,1,87300,10,1,100,4000
13,-10.2,-16.5,-10.0,-16.5,1,29400,10,5,200,223
14,-10.2,-16.8,-10.0,-16.8,1,87300,10,1,125,4000
15,-10.2,-17.1,-10.0,-17.1,1,58400,5,1,200,2000
16,-10.2,-17.4,-10.0,-17.4,1,36140,40,3,175,500
17,-10.2,-17.7,-10.0,-17.7,1,29400,20,4,100,223
18,-10.2,-18.0,-10.0,-18.0,1,36140,5,4,175,500
19,-10.2,-18.3,-10.0,-18.3,1,36140,10,5,100,500
20,-10.2,-18.6,-10.0,-18.6,1,43800,5,4,200,1000
21,-10.2,-18.9,-10.0,-18.9,1,87300,20,3,125,4000
22,-10.2,-19.2,-10.0,-19.2,1,87300,5,2,175,4000
23,-10.2,-19.5,-10.0,-19.5,1,87300,40,2,175,4000
24,-10.2,-19.8,-10.0,-19.8,1,58400,5,4,125,2000
25,-10.5,-19.8,-10.3,-19.8,1,58400,20,5,150,2000
26,-10.5,-19.5,-10.3,-19.5,1,29400,5,3,200,223
27,-10.5,-19.2,-10.3,-19.2,1,87300,2,5,100,4000
28,-10.5,-18.9,-10.3,-18.9,1,87300,2,4,125,4000
29,-10.5,-18.6,-10.3,-18.6,1,43800,20,1,200,1000
30,-10.5,-18.3,-10.3,-18.3,1,29400,2,4,150,223
