加工顺序,X1,Y1,X2,Y2,线间距,compressor,频率,次数,速度,脉宽_fs
1,-13.9,-3.6,-13.7,-3.6,1,36140,10,1,20,500
2,-13.9,-3.8,-13.7,-3.8,1,36140,20,2,30,500
3,-13.9,-4.0,-13.7,-4.0,1,36140,10,2,30,500
4,-13.9,-4.2,-13.7,-4.2,1,29400,5,5,30,223
5,-13.9,-4.4,-13.7,-4.4,1,36140,20,3,30,500
6,-13.9,-4.6,-13.7,-4.6,1,43800,2,1,40,1000
7,-13.9,-4.8,-13.7,-4.8,1,58400,40,4,20,2000
8,-13.9,-5.0,-13.7,-5.0,1,58400,2,1,50,2000
9,-13.9,-5.2,-13.7,-5.2,1,29400,10,4,10,223
10,-13.9,-5.4,-13.7,-5.4,1,58400,2,1,20,2000
11,-13.9,-5.6,-13.7,-5.6,1,36140,20,5,10,500
12,-13.9,-5.8,-13.7,-5.8,1,87300,10,1,10,4000
13,-13.9,-6.0,-13.7,-6.0,1,29400,10,5,50,223
14,-13.9,-6.2,-13.7,-6.2,1,87300,10,1,20,4000
15,-13.9,-6.4,-13.7,-6.4,1,58400,5,1,50,2000
16,-13.9,-6.6,-13.7,-6.6,1,36140,40,3,40,500
17,-13.9,-6.8,-13.7,-6.8,1,29400,20,4,10,223
18,-13.9,-7.0,-13.7,-7.0,1,36140,5,4,40,500
19,-13.9,-7.2,-13.7,-7.2,1,36140,10,5,10,500
20,-13.9,-7.4,-13.7,-7.4,1,43800,5,4,50,1000
21,-13.9,-7.6,-13.7,-7.6,1,87300,20,3,20,4000
22,-13.9,-7.8,-13.7,-7.8,1,87300,5,2,40,4000
23,-13.9,-8.0,-13.7,-8.0,1,87300,40,2,40,4000
24,-13.9,-8.2,-13.7,-8.2,1,58400,5,4,20,2000
25,-14.1,-8.2,-13.9,-8.2,1,58400,20,5,30,2000
26,-14.1,-8.0,-13.9,-8.0,1,29400,5,3,50,223
27,-14.1,-7.8,-13.9,-7.8,1,87300,2,5,10,4000
28,-14.1,-7.6,-13.9,-7.6,1,87300,2,4,20,4000
29,-14.1,-7.4,-13.9,-7.4,1,43800,20,1,50,1000
30,-14.1,-7.2,-13.9,-7.2,1,29400,2,4,30,223
31,-14.1,-7.0,-13.9,-7.0,1,43800,20,5,50,1000
32,-14.1,-6.8,-13.9,-6.8,1,43800,20,4,40,1000
33,-14.1,-6.6,-13.9,-6.6,1,43800,5,1,10,1000
34,-14.1,-6.4,-13.9,-6.4,1,29400,40,2,20,223
35,-14.1,-6.2,-13.9,-6.2,1,29400,2,4,40,223
36,-14.1,-6.0,-13.9,-6.0,1,58400,40,1,30,2000
