,序号,compressor,频率,间距,次数,速度,mean_depth_um,Sa_um,Sq_um,Sz_um,min_depth_um,max_depth_um,脉宽_fs
1,,36140,2,0.004,1,10,0.594,1.415,1.908,11.593,-2.943,8.649,500
2,3,36140,2,0.004,4,10,6.074,1.127,1.563,16.431,-0.686,15.745,500
3,4,36140,2,0.003,6,15,9.569,1.881,2.343,15.387,1.901,17.287,500
4,9,36140,2,0.002,5,20,9.634,2.134,2.6,17.658,2.048,19.706,500
5,10,36140,2,0.006,3,10,2.621,1.268,1.567,11.426,-1.456,9.971,500
6,13,36140,2,0.006,6,20,4.746,1.06,1.346,13.096,-1.058,12.038,500
7,18,36140,2,0.005,4,15,4.504,1.205,1.546,11.305,-0.78,10.525,500
8,25,36140,2,0.006,6,5,7.449,1.743,2.116,14.721,0.826,15.547,500
9,30,36140,2,0.005,6,10,5.279,1.473,1.778,12.166,-0.586,11.58,500
10,34,36140,2,0.004,5,1,23.792,1.929,2.547,18.187,13.599,31.786,500
11,,36140,5,0.004,5,1,39.258,0.671,0.839,4.907,36.812,41.719,500
12,37,36140,5,0.003,2,1,25.646,0.84,1.097,8.793,21.828,30.62,500
13,44,36140,5,0.005,6,10,10.412,1.742,2.22,14.883,2.985,17.868,500
14,,36140,5,0.005,6,20,11.504,2.692,3.455,18.992,3.488,22.48,500
15,52,36140,5,0.005,5,20,9.415,2.558,3.136,15.593,2.077,17.67,500
16,56,36140,5,0.006,3,15,6.739,1.581,1.874,12.081,0.37,12.451,500
17,57,36140,5,0.002,5,1,50.154,0.742,0.86,5.687,47.681,53.368,500
18,60,36140,10,0.005,2,10,7.613,2.232,2.804,18.294,-1.447,16.847,500
19,66,36140,10,0.005,5,20,12.144,2.279,2.689,15.648,5.714,21.362,500
20,70,36140,10,0.004,4,20,12.707,2.311,2.766,14.941,5.691,20.632,500
21,82,36140,10,0.003,2,20,11.758,1.745,2.062,12.432,5.445,17.877,500
22,70,36140,20,0.004,4,20,21.463,2.012,2.454,15.63,13.389,29.018,500
23,82,36140,20,0.003,2,20,17.964,1.896,2.468,16.658,8.593,25.251,500
24,84,36140,20,0.003,6,1,70.712,0.858,1.029,8.152,67.207,75.359,500
25,89,36140,20,0.003,2,15,13.565,1.853,2.211,15.629,6.421,22.05,500
26,93,36140,20,0.004,4,1,55.504,0.84,1.31,16.39,42.476,58.866,500
27,97,36140,20,0.002,3,1,57.781,0.872,1.169,7.705,54.988,62.693,500
28,114,36140,50,0.005,5,1,76.073,2.14,2.595,16.248,67.148,83.396,500
29,118,36140,50,0.006,6,20,45.04,2.562,3.235,22.879,38.706,61.585,500
30,5,43800,2,0.002,4,10,8.405,2.154,2.579,15.692,0.043,15.734,1000
31,11,43800,2,0.006,2,20,0.245,1.154,1.476,12.729,-5.608,7.121,1000
32,16,43800,5,0.005,3,15,7.858,1.708,2.099,11.604,2.08,13.684,1000
33,23,43800,5,0.003,5,10,11.77,2.421,2.864,15.111,2.971,18.082,1000
34,24,43800,5,0.002,5,10,14.121,1.812,2.104,11.93,7.635,19.565,1000
35,33,43800,5,0.004,3,10,5.231,1.665,1.991,10.654,-0.257,10.397,1000
36,38,43800,5,0.003,2,15,7.893,1.718,2.114,14.145,0.247,14.392,1000
37,46,43800,10,0.004,4,1,44.124,1.705,2.209,11.427,36.874,48.3,1000
38,47,43800,10,0.003,6,20,20.12,1.906,2.383,17.162,11.704,28.866,1000
39,53,43800,10,0.003,3,1,44.316,0.807,1.035,6.256,40.773,47.029,1000
40,54,43800,10,0.005,2,20,7.238,1.731,2.131,13.296,0.931,14.227,1000
41,63,43800,10,0.006,4,20,10.232,2.009,2.503,17.348,3.078,20.426,1000
42,64,43800,10,0.005,6,5,22.946,1.884,2.269,12.546,16.276,28.821,1000
43,68,43800,20,0.006,4,15,18.413,1.806,2.173,13.249,11.954,25.203,1000
44,69,43800,20,0.002,3,15,28.909,1.444,1.807,11.559,23.73,35.289,1000
45,72,43800,20,0.006,6,20,24.61,1.592,1.965,12.334,19.352,31.686,1000
46,75,43800,20,0.004,2,1,40.694,1.411,1.743,12.837,32.907,45.744,1000
47,,,,,,,,,,,,,
48,78,43800,20,0.005,6,1,54.569,0.775,0.959,7.287,51.033,58.32,1000
49,81,43800,20,0.004,6,5,37.113,0.632,0.909,9.48,33.255,42.735,1000
50,94,43800,50,0.004,4,10,41.685,2.99,3.532,18.696,34.501,53.198,1000
51,95,43800,50,0.006,4,15,29.84,2.435,2.988,17.159,22.605,39.764,1000
52,100,43800,50,0.006,6,20,41.21,2.692,3.218,19.031,31.809,50.84,1000
53,106,43800,50,0.005,5,20,44.936,3.837,4.565,20.127,36.621,56.749,1000
54,110,43800,50,0.004,4,5,52.034,2.63,3.278,15.869,46.672,62.541,1000
55,6,58400,2,0.006,4,15,1.833,1.123,1.414,11.288,-3.264,8.023,2000
56,12,58400,2,0.004,3,15,3.974,1.513,1.917,12.004,-1.207,10.797,2000
57,17,58400,2,0.002,3,15,7.494,1.789,2.169,14.707,-1.314,13.393,2000
58,20,58400,5,0.002,3,5,14.89,1.298,1.641,10.652,9.794,20.446,2000
59,21,58400,5,0.002,4,5,19.004,1.531,1.905,14.37,9.888,24.258,2000
