source,group,center_x_um,center_y_um,area_um2,median_depth_um,p10_depth_um,max_depth_um,erode_px,inner_px,valid_fraction
60Pass组.cag,MeasureData20260528102819,556.8902,262.4312,37900.1517,-9.3602,-12.8801,-21.0719,20.0000,270220,1.0000
60Pass组.cag,MeasureData20260528103025,161.4164,258.9637,41430.3697,-28.8156,-32.9952,-37.0310,20.0000,304722,1.0000
60Pass组.cag,MeasureData20260528103025,561.9392,256.0001,40850.8842,-23.0965,-27.9614,-31.5494,20.0000,299600,1.0000
60Pass组.cag,MeasureData20260528103227,547.0294,255.8139,40644.8897,-24.5778,-27.7435,-31.3987,20.0000,297959,1.0000
60Pass组.cag,MeasureData20260528103227,142.2548,258.0703,39104.4912,-29.3522,-32.0468,-34.8347,20.0000,286131,1.0000
60Pass组.cag,MeasureData20260528103433,141.9105,255.0856,39446.2360,-17.9389,-20.7012,-26.2645,20.0000,278501,1.0000
60Pass组.cag,MeasureData20260528103433,538.9186,254.8578,32164.9984,-7.1111,-11.9442,-16.0914,20.0000,67503,1.0000
60Pass组.cag,MeasureData20260528103641,147.0617,260.4025,33928.8044,-5.8007,-10.0023,-13.9931,20.0000,115316,1.0000
60Pass组.cag,MeasureData20260528103641,562.3544,332.3361,10553.8144,-5.8873,-10.2014,-19.5219,20.0000,34877,1.0000
60Pass组.cag,MeasureData20260528103641,459.5203,38.9010,7858.9462,-8.5215,-11.1220,-15.5664,20.0000,31594,1.0000
60Pass组.cag,MeasureData20260528103641,562.4921,178.1597,6880.2649,-6.8748,-11.3412,-15.4077,20.0000,25308,1.0000
60Pass组.cag,MeasureData20260528103641,401.9211,211.2965,2983.6632,-7.5950,-9.4635,-10.9396,20.0000,11959,1.0000
60Pass组.cag,MeasureData20260528103641,464.3441,491.2068,1639.7828,-6.7756,-8.4380,-11.1485,20.0000,3565,1.0000
60Pass组.cag,MeasureData20260528103641,468.1662,267.2216,1045.8457,-4.8437,-5.4614,-5.8937,20.0000,719,1.0000
60Pass组.cag,MeasureData20260528103641,431.8619,516.0575,253.2584,-3.8756,-5.9397,-8.8021,0.0000,2138,1.0000
60Pass组.cag,MeasureData20260528103846,151.1745,172.4671,6847.3342,-5.6255,-7.3906,-10.0980,20.0000,18510,1.0000
60Pass组.cag,MeasureData20260528103846,152.9317,343.2990,5205.3007,-5.8388,-7.1244,-11.4648,20.0000,5182,1.0000
60Pass组.cag,MeasureData20260528103846,559.6654,348.3152,3052.2491,-8.2481,-10.0267,-12.9434,20.0000,3348,1.0000
60Pass组.cag,MeasureData20260528103846,543.7586,160.1815,2007.1141,-4.7577,-7.0717,-11.0740,0.0000,16944,1.0000
60Pass组.cag,MeasureData20260528103846,637.5041,159.5031,311.5386,-4.3672,-7.1529,-9.7755,0.0000,2630,1.0000
60Pass组.cag,MeasureData20260528104046,146.2326,255.5332,36640.9671,-11.3371,-15.7673,-20.3171,20.0000,235959,1.0000
60Pass组.cag,MeasureData20260528104046,558.9051,335.4279,8074.2988,-6.4929,-13.6664,-20.6238,20.0000,37589,1.0000
60Pass组.cag,MeasureData20260528104046,558.6673,173.2241,6964.0131,-5.5996,-8.6491,-11.0772,20.0000,23023,1.0000
60Pass组.cag,MeasureData20260528104251,511.6962,265.0086,47750.8127,-10.1692,-19.5559,-26.2954,20.0000,311066,1.0000
